SimulationTime	VehicleID	x	y	speed	angle
1002.00	417	3311.79	1568.95	13.55	268.21
1002.00	418	3862.87	1589.08	10.69	279.62
1002.00	452	2776.88	2059.27	7.80	264.79
1002.00	446	4040.84	2262.63	6.22	101.24
1002.00	451	3754.54	1608.99	7.68	6.64
1002.00	444	4135.58	1584.61	13.40	268.38
1002.00	498	4466.62	2362.45	8.86	288.20
1002.00	462	3146.60	1701.27	15.70	354.30
1002.00	477	3850.28	1564.37	16.62	88.17
1002.00	441	3639.21	2377.68	13.88	186.46
1002.00	489	3610.04	1544.25	16.36	97.94
1002.00	412	2886.41	1856.49	7.91	297.68
1002.00	479	3966.85	1551.57	12.89	88.66
1002.00	448	3147.84	1663.09	14.04	330.66
1002.00	429	2569.86	1835.78	12.34	154.45
1002.00	496	4313.58	2491.54	10.28	185.32
1002.00	434	4761.72	1590.83	0.00	88.74
1002.00	487	3961.27	2491.66	7.60	313.99
1002.00	499	2788.05	1524.46	17.07	88.41
1002.00	404	3147.75	1747.87	13.80	0.68
1002.00	470	3611.81	2095.83	9.85	272.05
1002.00	443	3350.98	1946.63	7.59	98.34
1002.00	491	4435.88	2112.84	11.28	109.31
1002.00	432	3840.58	2604.82	7.53	310.90
1002.00	420	4068.19	2611.20	21.73	15.37
1002.00	493	4078.90	1967.02	12.34	124.95
1002.00	488	3600.61	1262.08	15.97	301.56
1002.00	492	3388.37	1586.23	7.37	180.69
1002.00	442	3533.65	2371.40	12.66	50.91
1002.00	482	2665.01	2292.31	12.50	84.43
1002.00	335	3306.66	2453.41	2.17	184.44
1002.00	461	3017.85	2295.93	8.73	89.37
1002.00	455	3130.22	1841.43	12.60	192.06
1002.00	359	4395.82	1557.30	5.88	156.88
1002.00	450	3413.62	2311.40	11.71	75.42
1002.00	449	3514.05	2337.93	11.71	128.38
1002.00	413	3455.18	1573.73	11.69	267.54
1002.00	475	4629.85	1958.81	11.77	199.00
1002.00	497	2996.86	2404.07	7.39	182.52
1002.00	464	3142.20	1716.31	13.54	355.49
1002.00	468	3977.11	2041.87	14.59	127.55
1002.00	421	4776.72	1591.16	0.00	88.71
1002.00	416	3476.36	1574.64	13.07	267.54
1002.00	366	3420.95	1562.59	13.31	268.32
1003.00	478	3647.28	1539.24	0.44	0.52
1003.00	436	4352.50	1573.74	15.72	88.19
1003.00	481	3878.50	1946.00	13.66	6.29
1003.00	467	3845.25	1603.33	5.95	171.98
1003.00	425	4754.22	1590.66	0.00	88.74
1003.00	437	2720.25	1552.31	5.99	181.79
1003.00	466	3177.30	2315.01	13.22	269.67
1003.00	495	3253.38	1875.19	7.84	294.96
1003.00	409	3862.93	1753.93	11.25	7.12
1003.00	457	2678.21	1846.49	1.81	195.15
1003.00	485	3039.38	2484.62	12.47	116.73
1003.00	435	4136.49	2182.57	2.43	358.05
1003.00	348	4443.87	1752.37	1.94	85.39
1003.00	445	4769.22	1590.99	0.00	88.74
1003.00	483	3006.63	1528.80	14.29	87.92
1003.00	458	3728.49	1485.75	5.46	4.87
1003.00	476	4530.69	1612.30	14.33	267.32
1003.00	484	3937.12	1550.88	14.67	88.66
1003.00	465	4267.53	1924.22	21.52	178.57
1003.00	456	4441.71	1595.82	16.02	267.22
1003.00	403	4032.33	2264.32	6.03	101.24
1003.00	440	3325.98	1806.83	7.92	5.35
1003.00	424	4227.25	1862.84	14.31	123.88
1003.00	494	3305.21	2467.21	4.79	303.74
1003.00	490	4300.63	2417.13	0.00	93.76
1003.00	428	3900.55	1577.72	16.24	268.08
1003.00	414	3339.93	1560.22	17.44	268.32
1003.00	474	3360.44	2535.94	14.13	156.39
1003.00	473	3983.08	1551.95	11.59	88.66
1003.00	381	3146.06	1770.97	12.64	4.81
1003.00	427	3878.49	2111.79	10.22	143.20
1003.00	316	4182.31	2473.39	7.01	261.01
1003.00	469	3212.83	2181.53	15.38	2.13
1003.00	370	3397.87	2325.84	12.67	254.47
1003.00	486	4302.56	2369.79	14.42	185.03
1003.00	367	2827.28	1546.92	10.06	265.02
1003.00	417	3299.23	1568.54	12.57	268.07
1003.00	418	3855.40	1597.58	11.75	332.40
1003.00	452	2772.46	2058.87	4.44	264.79
1003.00	446	4046.98	2261.41	6.25	101.24
1003.00	451	3755.50	1617.17	8.24	6.64
1003.00	444	4121.26	1584.21	14.33	268.38
1003.00	498	4458.21	2365.21	8.85	288.20
1003.00	462	3145.38	1716.57	15.35	355.46
1003.00	477	3867.15	1564.91	16.67	88.17
1003.00	441	3637.59	2363.33	14.44	186.46
1003.00	489	3626.41	1544.63	16.38	88.67
1003.00	412	2881.61	1859.06	5.44	298.21
1003.00	479	3975.24	1551.77	8.39	88.66
1003.00	448	3146.22	1676.56	13.50	353.21
1003.00	429	2574.89	1825.37	11.96	153.94
1003.00	496	4312.56	2480.63	10.95	185.32
1003.00	434	4761.72	1590.83	0.00	88.74
1003.00	487	3955.32	2497.40	8.26	313.99
1003.00	499	2805.48	1524.92	17.43	88.49
1003.00	404	3148.50	1761.78	14.02	4.68
1003.00	470	3601.22	2096.21	10.60	272.05
1003.00	443	3358.32	1945.55	7.42	98.34
1003.00	491	4446.03	2109.28	10.76	109.31
1003.00	432	3834.94	2609.72	7.48	310.95
1003.00	420	4072.75	2627.81	17.23	15.37
1003.00	493	4089.06	1959.92	12.39	124.95
1003.00	488	3587.55	1270.68	15.63	303.34
1003.00	492	3388.30	1579.85	6.39	180.69
1003.00	442	3543.87	2379.50	12.91	52.37
1003.00	482	2677.48	2293.52	12.55	84.43
1003.00	335	3309.14	2454.92	3.32	87.22
1003.00	461	3027.44	2296.04	9.58	89.37
1003.00	455	3127.56	1829.02	12.66	192.06
1003.00	359	4396.30	1550.47	6.85	175.95
1003.00	450	3425.46	2314.77	12.26	73.86
1003.00	449	3524.54	2330.16	13.06	125.47
1003.00	413	3443.36	1573.22	11.84	267.56
1003.00	475	4625.93	1947.44	12.03	198.99
1003.00	497	2995.04	2394.94	9.60	200.00
1003.00	464	3141.46	1729.86	13.49	357.45
1003.00	468	3988.09	2033.34	13.91	127.93
1003.00	421	4776.72	1591.16	0.00	88.71
1003.00	416	3464.96	1574.15	11.41	267.54
1003.00	366	3407.82	1562.21	13.14	268.32
1004.00	478	3647.28	1539.39	0.16	0.52
1004.00	436	4369.22	1574.27	16.73	88.19
1004.00	481	3879.92	1958.90	12.98	6.29
1004.00	467	3845.88	1596.05	7.32	176.47
1004.00	425	4754.22	1590.66	0.00	88.74
1004.00	437	2716.70	1546.23	7.73	224.77
1004.00	466	3163.92	2314.93	13.38	269.69
1004.00	495	3245.61	1877.43	8.10	284.71
1004.00	409	3864.25	1765.19	11.34	6.11
1004.00	457	2677.69	1844.57	2.00	195.16
1004.00	485	3048.73	2476.94	12.13	131.80
1004.00	435	4134.46	2181.35	2.53	284.23
1004.00	348	4445.80	1754.98	0.31	65.97
1004.00	445	4769.22	1590.99	0.00	88.74
1004.00	483	3019.68	1529.28	13.05	87.92
1004.00	458	3728.98	1491.41	5.68	4.87
1004.00	476	4515.57	1611.75	15.13	268.04
1004.00	484	3950.94	1551.20	13.82	88.66
1004.00	465	4268.04	1903.49	20.85	178.57
1004.00	456	4425.41	1595.03	16.32	267.22
1004.00	403	4038.17	2263.16	5.95	101.24
1004.00	440	3326.67	1814.22	7.42	5.35
1004.00	424	4239.44	1855.30	14.34	121.02
1004.00	494	3299.01	2471.04	7.29	301.70
1004.00	490	4300.63	2417.13	0.00	93.76
1004.00	428	3883.54	1577.15	17.01	268.08
1004.00	414	3321.78	1559.69	18.16	268.32
1004.00	474	3366.35	2522.41	14.80	156.39
1004.00	473	3993.92	1552.20	10.84	88.66
1004.00	381	3146.94	1783.39	12.46	3.69
1004.00	427	3884.18	2102.88	10.58	146.28
1004.00	316	4176.08	2472.40	6.31	261.01
1004.00	469	3213.36	2195.96	14.45	2.13
1004.00	370	3385.63	2322.44	12.97	254.47
1004.00	486	4301.29	2355.31	14.54	185.03
1004.00	367	2815.44	1546.57	11.85	268.30
1004.00	417	3286.80	1568.12	12.44	268.07
1004.00	418	3853.38	1608.50	11.13	352.57
1004.00	452	2767.16	2056.79	5.79	247.07
1004.00	446	4053.00	2260.22	6.14	101.24
1004.00	451	3756.33	1624.33	7.21	6.64
1004.00	444	4107.08	1583.81	14.18	268.38
1004.00	498	4449.34	2368.24	9.37	288.91
1004.00	462	3144.56	1732.10	15.56	357.46
1004.00	477	3882.92	1562.22	16.45	89.71
1004.00	441	3635.97	2349.01	14.41	186.45
1004.00	489	3641.52	1544.99	15.10	88.60
1004.00	412	2875.33	1862.57	7.20	299.57
1004.00	479	3981.60	1551.92	6.36	88.66
1004.00	448	3144.71	1689.21	12.67	353.21
1004.00	429	2580.51	1814.01	13.10	153.69
1004.00	496	4311.50	2469.12	11.57	185.25
1004.00	434	4761.72	1590.83	0.00	88.74
1004.00	487	3949.53	2502.99	8.05	313.99
1004.00	499	2822.83	1525.38	17.36	88.49
1004.00	404	3149.62	1775.28	13.63	4.67
1004.00	470	3590.59	2096.59	10.63	272.05
1004.00	443	3365.51	1944.49	7.27	98.34
1004.00	491	4457.07	2105.42	11.69	109.30
1004.00	432	3828.81	2615.04	8.12	310.93
1004.00	420	4075.16	2639.86	12.73	4.53
1004.00	493	4099.87	1952.36	13.20	124.95
1004.00	480	3151.81	2603.47	16.81	83.79
1004.00	488	3573.65	1279.82	16.63	303.34
1004.00	492	3388.26	1577.01	2.84	180.69
1004.00	442	3553.71	2387.87	12.65	45.33
1004.00	482	2689.80	2294.68	12.39	85.00
1004.00	461	3036.24	2296.13	8.79	89.37
1004.00	455	3124.90	1816.55	12.69	192.05
1004.00	359	4396.78	1543.75	6.74	175.95
1004.00	450	3437.07	2318.21	12.11	73.50
1004.00	449	3534.78	2323.43	12.26	123.20
1004.00	413	3430.67	1572.70	12.70	267.75
1004.00	475	4621.88	1935.66	12.46	198.99
1004.00	497	2985.19	2393.54	10.27	275.48
1004.00	464	3141.29	1743.37	13.44	0.33
1004.00	468	3998.78	2025.01	13.55	127.93
1004.00	421	4776.72	1591.16	0.00	88.71
1004.00	416	3453.56	1573.66	11.41	267.54
1004.00	366	3393.75	1561.80	14.08	268.32
1005.00	478	3647.28	1539.47	0.08	0.53
1005.00	436	4385.35	1577.94	16.24	88.37
1005.00	481	3881.41	1972.28	13.47	6.53
1005.00	467	3843.67	1589.08	7.54	203.57
1005.00	502	4194.76	2201.00	8.58	280.38
1005.00	425	4754.22	1590.66	0.00	88.74
1005.00	437	2707.67	1544.15	9.34	260.79
1005.00	466	3150.33	2314.86	13.59	269.74
1005.00	495	3236.94	1878.51	8.76	274.49
1005.00	409	3865.49	1777.38	12.25	5.80
1005.00	457	2677.24	1842.92	1.70	195.16
1005.00	485	3054.91	2469.91	9.42	143.96
1005.00	435	4132.69	2176.98	4.71	201.97
1005.00	348	4448.30	1753.68	2.82	84.19
1005.00	445	4769.22	1590.99	0.00	88.74
1005.00	483	3033.07	1529.76	13.40	87.92
1005.00	458	3729.45	1496.92	5.54	4.87
1005.00	476	4500.28	1611.22	15.30	268.04
1005.00	484	3963.15	1551.49	12.22	88.66
1005.00	465	4268.58	1882.09	21.51	178.57
1005.00	456	4408.61	1594.22	16.82	267.22
1005.00	403	4044.10	2261.98	6.05	101.24
1005.00	440	3327.34	1821.41	7.23	5.35
1005.00	424	4250.82	1845.62	15.08	137.01
1005.00	494	3291.51	2475.67	8.81	301.70
1005.00	490	4300.63	2417.13	0.00	93.76
1005.00	428	3867.59	1576.62	15.96	268.08
1005.00	414	3304.20	1559.18	17.59	268.32
1005.00	474	3372.10	2509.26	14.37	156.39
1005.00	473	4004.99	1552.48	11.08	88.43
1005.00	381	3148.18	1795.61	12.30	8.82
1005.00	427	3887.13	2094.94	8.54	162.81
1005.00	316	4169.13	2471.30	7.04	261.01
1005.00	469	3213.92	2210.85	14.90	2.13
1005.00	486	4299.94	2340.35	15.02	185.33
1005.00	367	2806.56	1546.31	8.89	268.30
1005.00	417	3274.15	1567.69	12.66	268.07
1005.00	418	3851.67	1621.61	13.22	352.57
1005.00	452	2763.69	2050.81	7.11	203.83
1005.00	446	4059.71	2258.88	6.84	101.24
1005.00	451	3757.30	1632.68	8.40	6.64
1005.00	444	4093.60	1583.43	13.48	268.38
1005.00	498	4441.06	2371.11	8.76	289.29
1005.00	462	3144.53	1747.46	15.36	0.50
1005.00	477	3899.08	1562.72	16.17	88.20
1005.00	441	3634.37	2334.82	14.29	186.44
1005.00	489	3657.50	1545.41	15.96	88.41
1005.00	412	2868.59	1866.42	7.76	299.69
1005.00	479	3989.74	1552.11	8.14	88.66
1005.00	448	3143.31	1702.17	12.96	354.86
1005.00	429	2585.65	1803.61	11.99	153.69
1005.00	496	4310.48	2458.03	11.14	185.25
1005.00	434	4761.72	1590.83	0.00	88.74
1005.00	487	3943.86	2508.46	7.88	313.99
1005.00	499	2839.68	1525.83	16.85	88.49
1005.00	404	3150.54	1789.64	14.47	3.68
1005.00	470	3580.26	2096.96	10.34	272.05
1005.00	443	3372.80	1943.43	7.37	98.34
1005.00	491	4467.12	2101.90	10.65	109.30
1005.00	432	3822.51	2620.50	8.34	310.93
1005.00	420	4072.15	2646.45	8.57	350.35
1005.00	493	4110.48	1944.95	12.94	124.94
1005.00	480	3169.08	2605.35	17.37	83.79
1005.00	488	3560.55	1288.44	15.69	303.34
1005.00	492	3388.26	1576.88	0.13	180.69
1005.00	442	3562.65	2397.55	13.13	42.47
1005.00	482	2702.39	2295.18	12.61	87.70
1005.00	461	3045.90	2296.24	9.65	89.37
1005.00	455	3123.05	1803.40	12.86	184.59
1005.00	359	4397.26	1536.97	6.79	175.95
1005.00	450	3448.43	2321.58	11.84	73.50
1005.00	449	3545.50	2316.66	12.67	121.64
1005.00	413	3418.38	1572.26	12.29	268.07
1005.00	475	4617.95	1924.26	12.06	198.99
1005.00	497	2978.20	2394.74	7.08	279.80
1005.00	464	3141.66	1755.95	12.52	2.26
1005.00	468	4009.41	2016.72	13.48	127.93
1005.00	421	4776.72	1591.16	0.00	88.71
1005.00	416	3441.15	1573.13	12.43	267.55
1005.00	366	3379.59	1561.38	14.17	268.32
1006.00	478	3647.64	1542.04	2.59	4.46
1006.00	436	4401.52	1578.40	16.18	88.37
1006.00	481	3882.91	1985.23	13.04	6.55
1006.00	467	3837.01	1587.51	7.09	263.17
1006.00	502	4187.18	2202.39	7.71	280.38
1006.00	425	4754.22	1590.66	0.00	88.74
1006.00	437	2697.36	1543.60	10.32	267.72
1006.00	466	3137.25	2314.80	13.08	269.74
1006.00	495	3228.32	1878.60	8.63	269.26
1006.00	409	3866.47	1788.70	11.37	4.12
1006.00	457	2676.71	1840.93	2.06	195.16
1006.00	485	3059.00	2460.69	10.10	158.68
1006.00	435	4130.73	2172.10	5.26	201.97
1006.00	348	4452.10	1752.95	3.95	104.41
1006.00	445	4769.22	1590.99	0.00	88.74
1006.00	483	3046.59	1530.26	13.53	87.92
1006.00	458	3729.85	1501.67	4.76	4.87
1006.00	476	4485.62	1610.72	14.67	268.04
1006.00	484	3974.72	1551.76	11.56	88.66
1006.00	465	4269.10	1860.90	21.31	178.57
1006.00	456	4391.95	1593.41	16.68	267.22
1006.00	403	4051.19	2260.58	7.23	101.24
1006.00	440	3327.87	1827.09	5.70	5.35
1006.00	424	4259.27	1833.48	14.81	147.28
1006.00	494	3281.99	2481.30	11.09	299.28
1006.00	490	4300.63	2417.13	0.00	93.76
1006.00	428	3851.52	1576.08	16.08	268.08
1006.00	414	3286.36	1558.66	17.85	268.32
1006.00	474	3377.62	2496.62	13.82	156.39
1006.00	473	4016.62	1552.83	11.63	88.25
1006.00	381	3150.06	1807.70	12.24	8.82
1006.00	427	3891.64	2088.42	8.01	143.70
1006.00	316	4161.85	2470.15	7.37	261.01
1006.00	469	3214.47	2225.72	14.88	2.13
1006.00	486	4298.46	2325.37	15.06	185.65
1006.00	367	2801.60	1546.35	4.97	270.48
1006.00	417	3261.31	1567.26	12.85	268.07
1006.00	418	3849.74	1637.13	15.65	353.73
1006.00	452	2762.23	2041.96	8.98	187.98
1006.00	446	4065.65	2257.70	6.06	101.24
1006.00	451	3758.17	1640.12	7.50	6.64
1006.00	444	4080.15	1583.05	13.46	268.38
1006.00	498	4432.10	2374.31	9.52	289.62
1006.00	462	3145.36	1762.61	15.17	4.81
1006.00	477	3915.80	1563.25	16.73	88.21
1006.00	441	3632.86	2321.44	13.46	186.44
1006.00	489	3673.19	1545.85	15.69	88.41
1006.00	412	2862.69	1869.91	6.86	301.01
1006.00	479	3998.66	1552.31	8.92	88.66
1006.00	448	3142.24	1715.83	13.62	355.49
1006.00	429	2590.94	1792.17	13.04	157.63
1006.00	496	4309.49	2447.16	10.91	185.25
1006.00	434	4761.72	1590.83	0.00	88.74
1006.00	487	3938.14	2513.99	7.96	313.99
1006.00	499	2856.21	1526.27	16.54	88.40
1006.00	404	3152.65	1803.52	14.11	8.83
1006.00	470	3569.65	2097.34	10.61	272.05
1006.00	443	3380.17	1942.35	7.44	98.34
1006.00	491	4477.49	2098.27	10.98	109.30
1006.00	432	3816.77	2625.52	7.63	311.35
1006.00	420	4070.59	2642.96	4.12	200.92
1006.00	493	4121.44	1937.30	13.36	124.97
1006.00	480	3185.66	2606.99	16.67	85.45
1006.00	488	3546.77	1297.51	16.49	303.34
1006.00	492	3388.26	1576.86	0.02	180.69
1006.00	442	3571.29	2406.98	12.79	42.47
1006.00	482	2714.96	2295.69	12.60	87.70
1006.00	461	3054.78	2296.34	9.44	89.36
1006.00	455	3122.20	1790.56	12.84	183.79
1006.00	359	4397.77	1529.65	7.34	175.95
1006.00	450	3459.12	2325.09	11.27	69.66
1006.00	449	3555.84	2310.29	12.14	121.64
1006.00	413	3406.33	1571.86	12.06	268.07
1006.00	475	4613.73	1911.99	12.97	199.00
1006.00	497	2970.53	2396.08	7.78	279.92
1006.00	464	3142.69	1769.04	13.05	4.80
1006.00	468	4020.33	2008.22	13.84	127.93
