SimulationTime	VehicleID	x	y	speed	angle
1003.00	PKW5241	2304.58	968.36	13.89	288.14
1003.00	PKW4982	3063.89	718.44	13.89	104.88
1003.00	PKW4035	1285.95	1369.76	5.65	322.58
1003.00	PKW4877	2806.04	2437.10	0.00	178.68
1003.00	PKW4141	365.88	1056.49	13.89	267.77
1003.00	PKW4816	1561.10	1161.33	13.89	299.57
1003.00	PKW4966	1988.01	2683.68	12.97	25.62
1003.00	routeFlow_bus34Hc.1	2549.56	1296.16	10.06	178.62
1003.00	PKW5291	2873.65	2314.23	13.89	326.82
1003.00	PKW5361	2624.99	2510.99	13.89	129.77
1003.00	PKW4829	2895.70	2206.28	13.89	159.07
1003.00	PKW4213	1715.57	2886.34	13.89	308.46
1003.00	PKW4866	2061.24	1040.95	0.00	280.28
1003.00	PKW5190	2538.59	2013.72	13.89	261.24
1003.00	PKW4624	3761.18	1938.05	13.89	93.65
1003.00	PKW5340	2299.54	1903.25	13.89	232.63
1003.00	PKW5522	2810.56	2209.81	0.00	128.55
1003.00	PKW5085	2243.25	995.20	13.89	288.22
1003.00	PKW4891	1839.57	505.99	13.89	116.23
1003.00	PKW4310	1952.95	2606.69	13.89	21.01
1003.00	PKW3764	1093.08	2012.93	13.89	345.61
1003.00	PKW4944	1478.25	1137.08	0.00	199.12
1003.00	PKW5192	2308.70	970.38	13.39	288.13
1003.00	PKW5328	2623.83	852.93	0.00	226.76
1003.00	PKW4760	2476.80	887.18	13.89	110.63
1003.00	PKW4948	1866.49	2346.90	6.50	190.66
1003.00	PKW5532	1378.41	1881.99	0.00	4.50
1003.00	PKW5016	2208.74	461.39	0.00	212.23
1003.00	PKW5331	2752.77	804.41	13.89	104.88
1003.00	PKW4968	2831.49	2230.25	13.89	202.21
1003.00	LKW237	1809.07	1048.44	0.00	253.31
1003.00	PKW4992	1741.54	1853.89	2.92	288.41
1003.00	PKW5338	1872.29	2069.51	13.89	346.28
1003.00	LKW223	2855.57	2225.81	0.00	15.66
1003.00	PKW5031	1505.04	1188.93	13.89	312.80
1003.00	PKW4970	1399.14	1214.65	8.74	256.43
1003.00	PKW5445	1968.01	2688.46	13.00	194.95
1003.00	PKW5527	1379.96	3132.51	13.89	128.46
1003.00	PKW4849	2665.53	2030.65	13.89	261.91
1003.00	PKW4861	2061.82	1044.10	0.00	280.28
1003.00	PKW4663	1708.36	1085.77	13.36	285.18
1003.00	PKW5473	2526.45	587.82	0.00	291.56
1003.00	PKW3777	2326.63	2682.76	7.67	270.31
1003.00	PKW4799	2613.87	881.48	0.00	189.51
1003.00	PKW5050	1663.61	1873.75	10.40	94.49
1003.00	PKW4840	2821.54	2592.69	13.89	358.75
1003.00	PKW4792	1477.61	652.57	4.70	276.82
1003.00	PKW5077	2805.17	2474.59	0.00	178.68
1003.00	PKW4436	1706.21	1865.65	5.77	288.41
1003.00	PKW5261	1893.16	2728.92	13.89	128.46
1003.00	PKW4904	2822.95	2528.53	13.89	358.75
1003.00	PKW5499	1086.27	1949.36	13.87	165.61
1003.00	PKW4890	1786.11	1838.99	0.00	281.03
1003.00	PKW4146	2063.02	1721.73	5.61	113.16
1003.00	PKW5229	2859.38	776.09	13.89	104.88
1003.00	PKW4710	3740.03	1942.61	13.89	93.65
1004.00	PKW5354	2504.51	593.45	0.00	295.90
1004.00	PKW4544	2924.47	2154.28	13.89	146.70
1004.00	PKW4859	1862.06	2318.81	11.70	185.51
1004.00	PKW4964	1748.66	1851.52	4.07	288.41
